,Generation,v_trial,score_trial,score_target
0,1,[0.504517186911625],12.402373470197183,12.402373470197183
1,1,[0.007349324405087272],47.37616047531532,46.78696674473084
2,1,[0.5044556716640771],12.402995221966034,51.45363698350599
3,1,[0.5004056198882565],12.460489689596422,16.842821187678464
4,2,[0.5044556716640771],12.402995221966034,12.402373470197183
5,2,[0.28891038783853795],16.634830985341562,47.37616047531532
6,2,[0.0032483079019022254],51.45363698350599,51.45363698350599
7,2,[0.5002825893931608],12.462209891459977,16.842821187678464
8,3,[0.007359874925270712],47.36823074559598,12.402995221966034
9,3,[0.0031762421341710086],51.78077047146785,47.37616047531532
10,3,[0.2815154661350036],16.840675955607814,51.45363698350599
11,3,[0],55.30613876224024,16.842821187678464
